Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.794185773926,13.8903935155,2,10,V
Q-EY1,0.87710591874,5.58349630878,2,10,V
Q-AA1,0.418462657938,9.48971301656,2,10,V
Q-AY1,0.985261227473,14.5317197541,2,10,V
Q-OW1,0.914021318822,12.1232343672,2,10,V
Q-AO1,0.532583740856,7.70210434005,2,10,V
Q-IY1,0.917032144954,8.26719218593,2,10,V
Q-EH1,0.902027383083,7.87054784451,2,10,V
Q-ER1,0.964279810793,7.58375630071,2,10,V
Q-OY1,0.935143931604,5.74300318781,2,10,V
Q-UW1,0.865323828819,8.48198043566,2,10,V
Q-EY1-EY1,0.992645456762,4.46590811865,3,6,VV
Q-ER1-EY1,0.9950439061,4.68213122712,3,6,VV
Q-AW1-ER1,0.998440200877,11.2860499586,3,6,VV
Q-ER1-AY1,0.977653309106,3.33220451018,3,6,VV
Q-IY1-AH1,0.999233064931,3.04452243772,3,6,VV
Q-AY1-OW1,0.999984815341,2.63905732962,3,6,VV
Q-OY1-ER1,0.774708675222,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.967491060891,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,0.999999989842,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,0.999998716281,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,0.999999968489,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.999994251216,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.998819429291,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999992888709,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.96700300593,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999169557602,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999986923728,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999996698357,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.998907029111,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999736475923,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.9998976575,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999924843945,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999988358932,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999019774759,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.607126494792,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.99999299663,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999713561441,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999948241,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999947113352,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.999818680599,4.20469261939,8,106,CCVCVCV
Q-K-W-IY1-D-AE1-D-OW1,0.999999983416,2.63905732962,8,106,CCVCVCV
Q-K-Y-UW1-R-AE1-R-EY1,0.999999193196,2.30258509299,8,106,CCVCVCV
Q-K-Y-UH1-R-EY1-T-ER1,0.999999968146,3.85014760171,8,106,CCVCVCV
Q-F-L-AO1-R-AH1-D-AH1,0.999999599706,6.84374994901,8,106,CCVCVCV
Q-F-L-AY1-K-AE1-CH-ER1,0.999889379913,0.69314718056,8,106,CCVCVCV
Q-F-L-AY1-P-EY1-P-ER1,0.99999994701,2.63905732962,8,106,CCVCVCV
Q-F-R-IY1-L-OW1-D-ER1,0.999999942455,2.07944154168,8,106,CCVCVCV
Q-F-R-EH1-SH-AH1-N-ER1,0.999999928905,2.99573227355,8,106,CCVCVCV
Q-G-L-AO1-K-OW1-M-AH1,0.999997917575,3.43398720449,8,106,CCVCVCV
Q-G-L-IY1-F-AH1-L-IY1,0.999874986181,1.79175946923,8,106,CCVCVCV
Q-G-L-OW1-B-AH1-L-IY1,0.999839003715,2.3978952728,8,106,CCVCVCV
Q-G-L-AO1-R-AH1-F-AY1,0.999974792869,2.94443897917,8,106,CCVCVCV
Q-G-L-AH1-T-AH1-N-IY1,0.999975325509,2.8903717579,8,106,CCVCVCV
Q-G-R-AH1-F-IY1-T-IY1,0.999981210746,4.63472898823,8,106,CCVCVCV
Q-G-R-AH1-M-ER1-S-IY1,0.999987265644,3.17805383035,8,106,CCVCVCV
Q-G-R-AH1-N-AA1-D-AH1,0.996089639219,3.58351893846,8,106,CCVCVCV
Q-G-R-AA1-N-AA1-D-OW1,0.991505346527,2.19722457734,8,106,CCVCVCV
Q-G-R-AH1-N-OW1-L-AH1,0.999159385584,3.40119738166,8,106,CCVCVCV
Q-G-R-AE1-T-AH1-F-AY1,0.999992941664,2.07944154168,8,106,CCVCVCV
Q-G-R-AE1-V-AH1-T-IY1,0.994110424657,5.86078622347,8,106,CCVCVCV
Q-G-R-IY1-D-AH1-L-IY1,0.997826389987,0.69314718056,8,106,CCVCVCV
Q-G-R-IH1-N-EY1-D-AH1,0.999994852728,3.36729582999,8,106,CCVCVCV
Q-M-Y-UW1-K-OW1-S-AH1,0.99999999985,2.56494935746,8,106,CCVCVCV
Q-M-Y-UW1-T-AH1-N-IY1,0.99998896529,4.83628190695,8,106,CCVCVCV
Q-P-L-AH1-S-IY1-B-OW1,0.999996989717,3.61091791264,8,106,CCVCVCV
Q-P-L-EY1-F-AH1-L-IY1,0.998762931756,2.07944154168,8,106,CCVCVCV
Q-P-L-UH1-R-AH1-S-IY1,0.997651490002,1.60943791243,8,106,CCVCVCV
Q-P-R-IY1-K-ER1-S-ER1,0.999999420452,1.94591014906,8,106,CCVCVCV
Q-P-R-EH1-D-AH1-T-ER1,0.897652443693,4.89783979995,8,106,CCVCVCV
Q-P-R-IY1-Z-ER1-V-ER1,0.999942309386,2.63905732962,8,106,CCVCVCV
Q-P-R-AY1-M-EH1-R-IY1,0.999989444863,6.09582456243,8,106,CCVCVCV
Q-P-R-IH1-Z-AH1-N-ER1,0.999977128965,7.07326971746,8,106,CCVCVCV
Q-P-R-AY1-V-AH1-S-IY1,0.999839245733,6.65157187359,8,106,CCVCVCV
Q-P-R-OW1-B-AH1-T-IY1,0.998556758171,1.09861228867,8,106,CCVCVCV
Q-P-R-AH1-S-IY1-JH-ER1,0.999985419546,6.71295620068,8,106,CCVCVCV
Q-P-R-AA1-S-EH1-S-ER1,0.999991925819,3.82864139649,8,106,CCVCVCV
Q-P-R-AA1-D-AH1-JH-IY1,0.998452938215,4.20469261939,8,106,CCVCVCV
Q-P-R-AH1-D-UW1-S-ER1,0.999879830634,6.45519856334,8,106,CCVCVCV
Q-P-R-AH1-F-EH1-S-ER1,0.999981831831,8.17413934343,8,106,CCVCVCV
Q-P-R-AA1-JH-AH1-N-IY1,0.992605012652,2.8903717579,8,106,CCVCVCV
Q-P-R-AH1-M-OW1-T-ER1,0.99997907237,3.93182563272,8,106,CCVCVCV
Q-P-R-AH1-P-EH1-L-ER1,0.99995374548,4.35670882669,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-L-IY1,0.990447303297,6.48920493133,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-T-IY1,0.996226293919,7.43720636687,8,106,CCVCVCV
Q-P-R-AA1-F-AH1-S-IY1,0.999130372905,5.77144112313,8,106,CCVCVCV
Q-P-R-OW1-T-AH1-ZH-EY1,0.999979945932,3.13549421593,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-D-ER1,0.99995893241,4.3040650932,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-Z-OW1,0.999378084719,2.30258509299,8,106,CCVCVCV
Q-P-R-UW1-N-EH1-L-AH1,0.999999711868,3.04452243772,8,106,CCVCVCV
Q-P-Y-UW1-B-ER1-T-IY1,0.999912229945,4.7184988713,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-F-AY1,0.999939214565,3.43398720449,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-T-IY1,0.99971304048,4.7957905456,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-F-AY1,0.999995375312,5.34233425196,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-T-IY1,0.99990271902,6.85329909319,8,106,CCVCVCV
Q-K-W-EH1-R-IY1-D-AH1,0.999999995799,2.19722457734,8,106,CCVCVCV
Q-S-K-AA1-L-ER1-L-IY1,0.999997487661,3.09104245336,8,106,CCVCVCV
Q-S-L-IY1-P-AH1-L-IY1,0.999092742178,0.69314718056,8,106,CCVCVCV
Q-S-L-IY1-P-OW1-V-ER1,0.999995577894,4.3040650932,8,106,CCVCVCV
Q-S-L-AA1-P-AH1-L-IY1,0.999207482453,1.09861228867,8,106,CCVCVCV
Q-S-P-AH1-G-EH1-T-IY1,0.999998867489,5.71042701737,8,106,CCVCVCV
