Word,Confusability,Frequency,Length,NumNeighbors,CV
Q-AH1,0.99997151406,13.8903935155,2,10,V
Q-EY1,0.924680919783,5.58349630878,2,10,V
Q-AA1,0.627323618216,9.48971301656,2,10,V
Q-AY1,0.987096081169,14.5317197541,2,10,V
Q-OW1,0.957898072901,12.1232343672,2,10,V
Q-AO1,0.628265520105,7.70210434005,2,10,V
Q-IY1,0.942876034323,8.26719218593,2,10,V
Q-EH1,0.945100486538,7.87054784451,2,10,V
Q-ER1,0.982969476952,7.58375630071,2,10,V
Q-OY1,0.971593823891,5.74300318781,2,10,V
Q-UW1,0.961066272275,8.48198043566,2,10,V
Q-EY1-EY1,0.994864231338,4.46590811865,3,6,VV
Q-ER1-EY1,0.997672053805,4.68213122712,3,6,VV
Q-AW1-ER1,0.998000143717,11.2860499586,3,6,VV
Q-ER1-AY1,0.99323277438,3.33220451018,3,6,VV
Q-IY1-AH1,0.999999826251,3.04452243772,3,6,VV
Q-AY1-OW1,0.999977879861,2.63905732962,3,6,VV
Q-OY1-ER1,0.77877463182,1.09861228867,3,6,VV
Q-T-R-IH1-P-AH1-L-EY1,0.979468536088,3.21887582487,8,106,CCVCVCV
Q-B-Y-UW1-T-IH1-F-AY1,1.0,2.07944154168,8,106,CCVCVCV
Q-B-L-UW1-B-EH1-R-IY1,1.0,4.8751973232,8,106,CCVCVCV
Q-B-R-AA1-CH-EH1-R-OW1,1.0,2.30258509299,8,106,CCVCVCV
Q-B-R-AE1-S-AH1-R-IY1,0.99999999981,1.60943791243,8,106,CCVCVCV
Q-B-R-AH1-V-AA1-D-OW1,0.99999989942,3.17805383035,8,106,CCVCVCV
Q-B-R-EY1-K-AH1-W-EY1,0.999999995255,3.52636052462,8,106,CCVCVCV
Q-B-R-EH1-V-AH1-T-IY1,0.964367581611,2.3978952728,8,106,CCVCVCV
Q-B-R-AA1-K-AH1-L-IY1,0.999999952797,4.75359019111,8,106,CCVCVCV
Q-B-R-AH1-DH-ER1-L-IY1,0.999999999901,3.76120011569,8,106,CCVCVCV
Q-B-R-UW1-HH-AA1-HH-AA1,0.999999999997,2.3978952728,8,106,CCVCVCV
Q-B-R-UW1-T-AH1-L-IY1,0.999962651595,4.52178857705,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-F-AY1,0.999946906185,4.73619844839,8,106,CCVCVCV
Q-K-L-EH1-R-AH1-T-IY1,0.999999978005,4.67282883446,8,106,CCVCVCV
Q-K-L-AE1-S-AH1-F-AY1,0.999999440302,3.4657359028,8,106,CCVCVCV
Q-K-L-EH1-V-ER1-L-IY1,0.999999999955,3.80666248977,8,106,CCVCVCV
Q-K-R-EY1-Z-AH1-L-IY1,0.999999723879,1.60943791243,8,106,CCVCVCV
Q-K-R-EH1-D-AH1-T-ER1,0.973074378088,1.94591014906,8,106,CCVCVCV
Q-K-R-AO1-S-OW1-V-ER1,0.999999997308,2.99573227355,8,106,CCVCVCV
Q-K-R-AA1-CH-AH1-T-IY1,0.999999853757,2.56494935746,8,106,CCVCVCV
Q-K-R-UW1-S-AH1-F-AY1,0.999999999867,4.70953020131,8,106,CCVCVCV
Q-K-R-UW1-S-EY1-D-ER1,0.999999999991,4.04305126783,8,106,CCVCVCV
Q-K-R-AY1-B-EY1-B-IY1,0.999999999984,4.20469261939,8,106,CCVCVCV
Q-K-W-IY1-D-AE1-D-OW1,1.0,2.63905732962,8,106,CCVCVCV
Q-K-Y-UW1-R-AE1-R-EY1,0.999999999763,2.30258509299,8,106,CCVCVCV
Q-K-Y-UH1-R-EY1-T-ER1,0.999999999853,3.85014760171,8,106,CCVCVCV
Q-F-L-AO1-R-AH1-D-AH1,1.0,6.84374994901,8,106,CCVCVCV
Q-F-L-AY1-K-AE1-CH-ER1,0.999999990266,0.69314718056,8,106,CCVCVCV
Q-F-L-AY1-P-EY1-P-ER1,0.999999997525,2.63905732962,8,106,CCVCVCV
Q-F-R-IY1-L-OW1-D-ER1,1.0,2.07944154168,8,106,CCVCVCV
Q-F-R-EH1-SH-AH1-N-ER1,0.999999999045,2.99573227355,8,106,CCVCVCV
Q-G-L-AO1-K-OW1-M-AH1,1.0,3.43398720449,8,106,CCVCVCV
Q-G-L-IY1-F-AH1-L-IY1,0.999999995121,1.79175946923,8,106,CCVCVCV
Q-G-L-OW1-B-AH1-L-IY1,0.999999912251,2.3978952728,8,106,CCVCVCV
Q-G-L-AO1-R-AH1-F-AY1,0.999963850639,2.94443897917,8,106,CCVCVCV
Q-G-L-AH1-T-AH1-N-IY1,1.0,2.8903717579,8,106,CCVCVCV
Q-G-R-AH1-F-IY1-T-IY1,0.99999999998,4.63472898823,8,106,CCVCVCV
Q-G-R-AH1-M-ER1-S-IY1,0.999999999885,3.17805383035,8,106,CCVCVCV
Q-G-R-AH1-N-AA1-D-AH1,0.99999971643,3.58351893846,8,106,CCVCVCV
Q-G-R-AA1-N-AA1-D-OW1,0.999999999812,2.19722457734,8,106,CCVCVCV
Q-G-R-AH1-N-OW1-L-AH1,0.999944288408,3.40119738166,8,106,CCVCVCV
Q-G-R-AE1-T-AH1-F-AY1,0.999999999791,2.07944154168,8,106,CCVCVCV
Q-G-R-AE1-V-AH1-T-IY1,0.999680964238,5.86078622347,8,106,CCVCVCV
Q-G-R-IY1-D-AH1-L-IY1,0.999999997298,0.69314718056,8,106,CCVCVCV
Q-G-R-IH1-N-EY1-D-AH1,0.999999999994,3.36729582999,8,106,CCVCVCV
Q-M-Y-UW1-K-OW1-S-AH1,1.0,2.56494935746,8,106,CCVCVCV
Q-M-Y-UW1-T-AH1-N-IY1,1.0,4.83628190695,8,106,CCVCVCV
Q-P-L-AH1-S-IY1-B-OW1,1.0,3.61091791264,8,106,CCVCVCV
Q-P-L-EY1-F-AH1-L-IY1,0.999999891303,2.07944154168,8,106,CCVCVCV
Q-P-L-UH1-R-AH1-S-IY1,0.999999957225,1.60943791243,8,106,CCVCVCV
Q-P-R-IY1-K-ER1-S-ER1,0.999999999969,1.94591014906,8,106,CCVCVCV
Q-P-R-EH1-D-AH1-T-ER1,0.981057585594,4.89783979995,8,106,CCVCVCV
Q-P-R-IY1-Z-ER1-V-ER1,0.999999999975,2.63905732962,8,106,CCVCVCV
Q-P-R-AY1-M-EH1-R-IY1,1.0,6.09582456243,8,106,CCVCVCV
Q-P-R-IH1-Z-AH1-N-ER1,0.999999995633,7.07326971746,8,106,CCVCVCV
Q-P-R-AY1-V-AH1-S-IY1,0.999896782607,6.65157187359,8,106,CCVCVCV
Q-P-R-OW1-B-AH1-T-IY1,0.999999941495,1.09861228867,8,106,CCVCVCV
Q-P-R-AH1-S-IY1-JH-ER1,0.999999998458,6.71295620068,8,106,CCVCVCV
Q-P-R-AA1-S-EH1-S-ER1,0.99999994544,3.82864139649,8,106,CCVCVCV
Q-P-R-AA1-D-AH1-JH-IY1,0.999999991397,4.20469261939,8,106,CCVCVCV
Q-P-R-AH1-D-UW1-S-ER1,0.999999989302,6.45519856334,8,106,CCVCVCV
Q-P-R-AH1-F-EH1-S-ER1,0.999999976779,8.17413934343,8,106,CCVCVCV
Q-P-R-AA1-JH-AH1-N-IY1,0.999999946854,2.8903717579,8,106,CCVCVCV
Q-P-R-AH1-M-OW1-T-ER1,0.999999999999,3.93182563272,8,106,CCVCVCV
Q-P-R-AH1-P-EH1-L-ER1,0.999999923789,4.35670882669,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-L-IY1,0.999994786697,6.48920493133,8,106,CCVCVCV
Q-P-R-AA1-P-ER1-T-IY1,0.999996107941,7.43720636687,8,106,CCVCVCV
Q-P-R-AA1-F-AH1-S-IY1,0.999869349339,5.77144112313,8,106,CCVCVCV
Q-P-R-OW1-T-AH1-ZH-EY1,0.999999999314,3.13549421593,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-D-ER1,0.999999997855,4.3040650932,8,106,CCVCVCV
Q-P-R-AH1-V-AY1-Z-OW1,0.999999726466,2.30258509299,8,106,CCVCVCV
Q-P-R-UW1-N-EH1-L-AH1,0.999999999999,3.04452243772,8,106,CCVCVCV
Q-P-Y-UW1-B-ER1-T-IY1,0.999999999519,4.7184988713,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-F-AY1,0.999976865486,3.43398720449,8,106,CCVCVCV
Q-P-Y-UH1-R-AH1-T-IY1,0.999999972993,4.7957905456,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-F-AY1,0.999978757525,5.34233425196,8,106,CCVCVCV
Q-K-W-AA1-L-AH1-T-IY1,0.999999982456,6.85329909319,8,106,CCVCVCV
Q-K-W-EH1-R-IY1-D-AH1,1.0,2.19722457734,8,106,CCVCVCV
Q-S-K-AA1-L-ER1-L-IY1,0.999999999946,3.09104245336,8,106,CCVCVCV
Q-S-L-IY1-P-AH1-L-IY1,0.999987294582,0.69314718056,8,106,CCVCVCV
Q-S-L-IY1-P-OW1-V-ER1,0.999999928367,4.3040650932,8,106,CCVCVCV
Q-S-L-AA1-P-AH1-L-IY1,0.999994653781,1.09861228867,8,106,CCVCVCV
Q-S-P-AH1-G-EH1-T-IY1,1.0,5.71042701737,8,106,CCVCVCV
Q-S-P-AE1-CH-UH1-L-AH1,1.0,4.02535169074,8,106,CCVCVCV
Q-S-P-EH1-SH-AH1-L-IY1,0.9999993356,5.1416635565,8,106,CCVCVCV
Q-S-P-EH1-S-AH1-F-AY1,0.999997872392,3.82864139649,8,106,CCVCVCV
Q-S-P-IY1-D-AH1-L-IY1,0.999994717321,1.09861228867,8,106,CCVCVCV
Q-S-P-IH1-L-OW1-V-ER1,0.999999520329,1.09861228867,8,106,CCVCVCV
Q-S-T-AH1-K-AA1-T-OW1,0.999999930758,2.07944154168,8,106,CCVCVCV
Q-S-T-AE1-M-AH1-N-AH1,1.0,4.39444915467,8,106,CCVCVCV
Q-S-T-EY1-P-AH1-L-ER1,0.998472938122,3.78418963392,8,106,CCVCVCV
Q-S-T-EH1-D-AH1-L-IY1,0.999988753594,4.09434456222,8,106,CCVCVCV
Q-S-T-IH1-K-AH1-L-ER1,0.999853404211,3.82864139649,8,106,CCVCVCV
Q-S-T-IH1-F-AH1-N-ER1,0.999999505412,1.38629436112,8,106,CCVCVCV
Q-S-T-AH1-L-EH1-T-OW1,0.999999994052,2.83321334406,8,106,CCVCVCV
Q-S-T-AA1-P-OW1-V-ER1,0.999999997992,2.99573227355,8,106,CCVCVCV
Q-S-T-UW1-P-IH1-D-ER1,1.0,3.43398720449,8,106,CCVCVCV
Q-S-W-AA1-HH-IY1-L-IY1,0.999999999506,3.04452243772,8,106,CCVCVCV
Q-S-W-IY1-T-AH1-N-ER1,0.999999999857,2.63905732962,8,106,CCVCVCV
Q-T-R-AE1-F-IH1-K-ER1,0.999999999999,2.07944154168,8,106,CCVCVCV
Q-T-R-AE1-JH-AH1-D-IY1,0.999999999727,6.58340922216,8,106,CCVCVCV
Q-T-R-AE1-V-AH1-L-ER1,0.999999999845,5.26785815906,8,106,CCVCVCV
Q-T-R-IH1-L-AH1-JH-IY1,0.999999971597,3.4657359028,8,106,CCVCVCV
Q-T-R-IH1-N-AH1-T-IY1,0.999999927664,5.00394630595,8,106,CCVCVCV
Q-T-R-IH1-P-AH1-L-IY1,0.99999737034,2.94443897917,8,106,CCVCVCV
Q-T-S-UW1-N-AA1-M-IY1,1.0,3.295836866,8,106,CCVCVCV
Q-T-Y-UW1-P-AH1-L-OW1,1.0,2.48490664979,8,106,CCVCVCV
Q-AA1-N-K-AO1-R,0.999997612498,4.83628190695,6,423,VCCVC
Q-AE1-B-HH-AO1-R,0.999999611548,2.48490664979,6,423,VCCVC
Q-AH1-B-L-EY1-Z,0.999983337891,3.04452243772,6,423,VCCVC
Q-AH1-B-R-AO1-D,0.998876498204,5.52146091786,6,423,VCCVC
Q-AE1-B-S-EH1-S,0.999976268868,3.21887582487,6,423,VCCVC
Q-AH1-B-S-ER1-D,0.999998879382,6.20455776257,6,423,VCCVC
Q-AH1-B-Y-UW1-S,0.999916194074,6.25958146406,6,423,VCCVC
Q-AE1-K-S-IY1-D,0.99997294809,1.94591014906,6,423,VCCVC
Q-AE1-K-S-EH1-S,0.944674474251,7.38709023566,6,423,VCCVC
Q-AH1-K-L-EY1-M,0.999995775547,3.09104245336,6,423,VCCVC
Q-AH1-K-R-UW1-D,0.999853382068,2.56494935746,6,423,VCCVC
Q-AH1-K-Y-UW1-Z,0.999991046343,5.66988092298,6,423,VCCVC
Q-AH1-K-W-IH1-T,0.999933839942,3.17805383035,6,423,VCCVC
Q-AH1-K-R-AO1-S,0.99999045317,8.47657950853,6,423,VCCVC
Q-AE1-K-T-IH1-D,0.999980250318,6.30627528695,6,423,VCCVC
Q-AE1-K-T-AH1-N,0.999987071898,4.18965474203,6,423,VCCVC
Q-AE1-K-T-IH1-NG,0.995704313551,7.89170465933,6,423,VCCVC
Q-AE1-K-SH-AH1-N,0.993345775901,8.04398443122,6,423,VCCVC
Q-AE1-K-T-IH1-V,0.993487383436,6.36990098283,6,423,VCCVC
Q-AE1-K-T-ER1-Z,0.999919698595,6.4676987261,6,423,VCCVC
Q-AH1-K-Y-UW1-T,0.999994815877,5.0106352941,6,423,VCCVC
Q-AE1-D-R-EH1-S,0.999999958871,7.88833450074,6,423,VCCVC
Q-AH1-D-HH-IH1-R,0.999999976293,3.36729582999,6,423,VCCVC
Q-AE1-D-M-IH1-N,0.999999838953,3.09104245336,6,423,VCCVC
Q-AE1-D-M-AY1-R,0.999999869728,6.58202513889,6,423,VCCVC
Q-AH1-D-M-IH1-T,0.999999989024,8.01268092971,6,423,VCCVC
Q-AH1-D-R-OY1-T,0.999983688045,1.79175946923,6,423,VCCVC
Q-AE1-D-V-ER1-B,0.995185556127,2.30258509299,6,423,VCCVC
Q-AE1-D-V-ER1-S,0.999991860466,3.58351893846,6,423,VCCVC
Q-AE1-D-V-AY1-S,0.968160732728,7.80261806344,6,423,VCCVC
Q-AE1-D-V-AY1-Z,0.902499307009,6.43294009274,6,423,VCCVC
Q-EH1-S-TH-IY1-T,0.999998348959,1.79175946923,6,423,VCCVC
Q-AE1-F-G-AE1-N,0.999999959044,3.36729582999,6,423,VCCVC
Q-AH1-F-L-EY1-M,0.999994142237,2.83321334406,6,423,VCCVC
Q-AH1-F-L-OW1-T,0.999999986834,4.44265125649,6,423,VCCVC
Q-AH1-F-R-EY1-D,0.999999839933,9.44390938877,6,423,VCCVC
Q-AH1-F-R-EH1-SH,0.999977157381,2.56494935746,6,423,VCCVC
Q-EY1-JH-L-AH1-S,0.999994682126,2.7080502011,6,423,VCCVC
Q-AH1-G-R-IY1-D,0.999996663104,7.51316354523,6,423,VCCVC
Q-AH1-G-R-IY1-Z,0.999992819342,5.38907172982,6,423,VCCVC
Q-EY1-M-L-AH1-S,0.999994307052,2.63905732962,6,423,VCCVC
Q-EH1-R-B-AE1-G,0.999999801821,2.99573227355,6,423,VCCVC
Q-EH1-R-B-EY1-S,0.998985145081,1.60943791243,6,423,VCCVC
Q-EH1-R-B-OW1-T,0.999985249011,1.38629436112,6,423,VCCVC
Q-EH1-R-D-EY1-L,0.999664955008,1.79175946923,6,423,VCCVC
Q-EH1-R-F-EH1-R,0.999999986985,2.48490664979,6,423,VCCVC
Q-EH1-R-HH-EH1-D,0.999989865266,3.295836866,6,423,VCCVC
Q-EH1-R-L-AH1-S,0.973149329232,1.60943791243,6,423,VCCVC
Q-EH1-R-L-AY1-N,0.999995445733,5.80211837538,6,423,VCCVC
Q-EH1-R-L-AO1-K,0.999998790423,3.73766961828,6,423,VCCVC
Q-EH1-R-M-EY1-L,0.999996706629,2.83321334406,6,423,VCCVC
Q-EH1-R-M-AH1-N,0.999994914424,3.40119738166,6,423,VCCVC
Q-EH1-R-M-EH1-N,0.999828303988,3.52636052462,6,423,VCCVC
Q-EH1-R-SH-IH1-P,0.999999965558,3.40119738166,6,423,VCCVC
Q-EH1-R-T-AY1-T,0.999997138437,4.04305126783,6,423,VCCVC
Q-EH1-R-T-AY1-M,0.99999245423,2.56494935746,6,423,VCCVC
Q-EH1-R-W-EY1-Z,0.999165776414,3.80666248977,6,423,VCCVC
Q-AE1-K-R-AH1-N,0.999126536354,3.63758615973,6,423,VCCVC
Q-AA1-L-B-AH1-N,0.906853180576,1.38629436112,6,423,VCCVC
Q-AE1-L-B-ER1-T,0.999999675772,6.85540879861,6,423,VCCVC
Q-AE1-L-B-AH1-M,0.999981250554,6.25766758788,6,423,VCCVC
Q-AE1-L-B-AH1-S,0.999985769459,2.3978952728,6,423,VCCVC
Q-AE1-L-K-OW1-V,0.999999969022,3.17805383035,6,423,VCCVC
Q-AA1-L-D-AH1-N,0.987274273899,4.44265125649,6,423,VCCVC
Q-AE1-L-P-AY1-N,0.999974529573,4.1743872699,6,423,VCCVC
Q-AO1-L-R-AY1-T,0.999999932472,8.30498958014,6,423,VCCVC
Q-AA1-L-T-EH1-R,0.99999989186,4.15888308336,6,423,VCCVC
